date,persons,record_time,shownotes,title
Feb 14-2015,"['naoya', 'miyagawa']",58:56,[],79: Deep Learning Anime (Naoya Ito)
Feb 17-2015,"['naoya', 'miyagawa']",33:56,[],Aftershow 79: Better Way To Support The Show (Naoya Ito)
Feb 22-2015,"['yusukebe', 'miyagawa', 'hotchpotch']",1:22:19,[],80: Most Europeans Speak Good English (yusukebe)
Feb 24-2015,"['yusukebe', 'miyagawa']",37:45,[],Aftershow 80: Podcaster In Training (yusukebe)
Mar 01-2015,"['omo', 'miyagawa']",1:06:17,[],81: Enable The Broken Web (Hajime Morrita)
Mar 04-2015,"['omo', 'miyagawa']",36:37,[],Aftershow 81: Have You Tried Turning It Off And On Again (Hajime Morrita)
Mar 10-2015,"['hak', 'miyagawa']",1:24:58,[],82: Your Faith Is Being Tested (hak)
Mar 12-2015,"['hak', 'miyagawa']",37:23,[],Aftershow 82: Becoming A Robot (hak)
Mar 15-2015,"['deeeet', 'miyagawa']",1:25:17,[],83: Living In A Container (deeeet)
Mar 17-2015,"['deeeet', 'miyagawa']",29:03,[],Aftershow 83: Security Updates For Murakami (deeeet)
Mar 22-2015,"['naoya', 'miyagawa']",1:07:48,[],84: One Source Multi Use (Naoya Ito)
Mar 24-2015,"['naoya', 'miyagawa']",25:37,[],Aftershow 84: Games Worth Playing (Naoya Ito)
Mar 28-2015,"['naan', 'hak', 'miyagawa', 'gfx']",1:04:26,[],"85: Virtual Reality, The Final Frontier (naan, hak)"
Mar 30-2015,"['naan', 'hak', 'miyagawa']",25:28,[],"Aftershow 85: Rebuild Tour (naan, hak)"
Apr 05-2015,"['N', 'miyagawa']",1:22:11,[],86: Fourteen Till I Die (N)
Apr 07-2015,"['N', 'miyagawa']",51:09,[],Aftershow 86: The Japanese Protocol (N)
Apr 11-2015,"['fumiakiy', 'miyagawa']",1:07:53,[],87: My Mom In This IDE (fumiakiy)
Apr 14-2015,"['fumiakiy', 'miyagawa']",25:03,[],Aftershow 87: There Is Only One Program (fumiakiy)
Apr 17-2015,"['modocache', 'miyagawa']",57:24,[],88: Five Years Of Terrible Coding (Brian Gesiak)
Apr 20-2015,"['modocache', 'miyagawa']",12:52,[],Aftershow 88: Learn Japanese Through Gundam (Brian Gesiak)
Apr 26-2015,"['N', 'miyagawa']",1:05:01,[],89: Apple Watch Cured My Allergies (N)
Apr 28-2015,"['N', 'naan', 'miyagawa']",23:36,[],"Aftershow 89: Apple Watch Ruined My Date (N, naan)"
May 04-2015,"['hak', 'miyagawa']",1:21:08,[],90: Remembering Dreamcast (hak)
May 07-2015,"['hak', 'miyagawa']",35:32,[],Aftershow 90: Milestones in Zombie Evolution (hak)
May 10-2015,"['naoya', 'miyagawa']",1:00:47,[],91: The PHP Way (Naoya Ito)
May 12-2015,"['naoya', 'miyagawa']",41:39,[],"Aftershow 91: With PHP, Everything Is Acceptable (Naoya Ito)"
May 20-2015,"['kansai_takako', 'miyagawa']",1:07:41,[],92: Break Things Three Times (kansai_takako)
May 23-2015,"['kansai_takako', 'miyagawa']",14:36,[],Aftershow 92: White Box (kansai_takako)
May 25-2015,"['typester', 'miyagawa']",1:07:11,[],93: Time Management For Agents (typester)
